"AreaTitle	AmphoraIdentifier	AmphoricTypeTitle	SimplifiedTranscription	FullTranscription	FindingPlaceLongitude	FindingPlaceLatitude	FindingPlaceTitle	ProductionDateStartYear	ProductionDateEndYear	InscriptionTypeTitle"
"Roma	48588	Dressel 20	II {2}	II	12.483333	41.9	89 N 01 (110-120)	220	224	Sketch"
"Roma	48589	Dressel 20	X {10}	X	12.483333	41.9	89 S 10 (080r)			Sketch"
"Roma	48590	Dressel 20	XX {20}	XX	12.483333	41.9	89 S 10 (120-160)			Sketch"
"Roma	48591	Dressel 20	X {10}	X	12.483333	41.9	89 S 11 (180-200)	218	220	Sketch"
"Roma	48591	Dressel 20	X {10}	X	12.483333	41.9	89 S 11 (180-200)	222	222	Sketch"
"Roma	48596	Dressel 20	I {1}	I	12.483333	41.9	92 S 07 (090-110)	220	224	Sketch"
"Roma	48597	Dressel 20	I {1}	I	12.483333	41.9	92 S 08 (150-180)	220	224	Sketch"
"Roma	48598	Dressel 20	X {10}	X	12.483333	41.9	91 N 11 (280-300)	220	224	Sketch"
"Roma	48599	Dressel 20	II {2}	II	12.483333	41.9	91 N 11 (220-240)	220	224	Sketch"
"Roma	48600	Dressel 20	XXX {30}	XXX	12.483333	41.9	91 N 11 (240-260)+S/N (240-260)	220	224	Sketch"
"Roma	48601	Dressel 20	XXX {30}	XXX	12.483333	41.9	91 N 10 (260-280)	220	224	Sketch"
"Roma	48602	Dressel 20	I {1}	I	12.483333	41.9	92 S 08 (050-070)	220	224	Sketch"
"Roma	48603	Dressel 20	V {5}	V	12.483333	41.9	92 N 07 (170-190)	220	224	Sketch"
"Roma	48604	Dressel 20	ANT	ilegibile	12.483333	41.9	90 N1 (200 - 230)	153	161	Sketch"
"Roma	48605	Dressel 20	ANT	X {10}	12.483333	41.9	90 N1 (250 - 280)	153	161	Sketch"
"Roma	48606	Dressel 20	ANT	((CIRCULUS))	12.483333	41.9	N1 (90-110)	254	254	Sketch"
"Roma	48607	Dressel 20	ANT	D {500}	12.483333	41.9	S2 (210-230)	254	254	Sketch"
"Roma	48608	Dressel 20	ANT	X {10}	12.483333	41.9	N1 (270-290)	252	252	Sketch"
"Roma	48609	Dressel 20	ANT	R	12.483333	41.9	S2 (90-110)	254	254	Sketch"
"Roma	48610	Dressel 20	ANT	ilegibile	12.483333	41.9	Superficial	254	254	Sketch"
"Roma	48611	Dressel 20	ANT	((CIRCULUS))	12.483333	41.9	S2 (110-130)	254	254	Sketch"
"Roma	48612	Dressel 20	ANT	((CIRCULUS))	12.483333	41.9	S1 (250-270)	254	254	Sketch"
"Roma	48613	Dressel 20	I {1}	I	12.483333	41.9	S9 30-40	220	224	Sketch"
"Roma	48614	Dressel 20	I {1}	I	12.483333	41.9	N1 90-110	220	224	Sketch"
"Roma	48615	Dressel 20	I {1}	I	12.483333	41.9	S1 90-110	220	224	Sketch"
"Roma	48616	Dressel 20	I {1}	I	12.483333	41.9	S1 -120	220	224	Sketch"
"Roma	48617	Dressel 20	I {1}	I	12.483333	41.9	S1 -120	220	224	Sketch"
"Roma	48618	Dressel 20	I {1}	I	12.483333	41.9	S9-100-120	220	224	Sketch"
"Roma	48619	Dressel 20	I {1}	I	12.483333	41.9	S11-100-120	220	224	Sketch"
"Roma	48620	Dressel 20	I {1}	I	12.483333	41.9	S11-140-160.	220	224	Sketch"
"Roma	48621	Dressel 20	I {1}	I	12.483333	41.9	S11-180-200.	220	224	Sketch"
"Roma	48622	Dressel 20	I {1}	I	12.483333	41.9	N 11-150-170.	220	224	Sketch"
"Roma	48623	Dressel 20	I {1}	I	12.483333	41.9	N 11-170-190.	220	224	Sketch"
"Roma	48624	Dressel 20	I {1}	I	12.483333	41.9	N 10 190-220	220	224	Sketch"
"Roma	48625	Dressel 20	I {1}	I	12.483333	41.9	N 11 220-240	220	224	Sketch"
"Roma	48626	Dressel 20	I {1}	I	12.483333	41.9	N 11 300-320	220	224	Sketch"
"Roma	48627	Dressel 20	I {1}	I	12.483333	41.9	N7 50-70	220	224	Sketch"
"Roma	48628	Dressel 20	I {1}	I	12.483333	41.9	S7 70-90	160	160	Sketch"
"Roma	48629	Dressel 20	II {2}	II	12.483333	41.9	N 1 90-110	220	224	Sketch"
"Roma	48630	Dressel 20	II {2}	II	12.483333	41.9	S10 70-80	220	224	Sketch"
"Roma	48631	Dressel 20	II {2}	II	12.483333	41.9	S10 80-100	220	224	Sketch"
"Roma	48632	Dressel 20	II {2}	II	12.483333	41.9	S11 80-100	220	224	Sketch"
"Roma	48633	Dressel 20	II {2}	II	12.483333	41.9	S11 120-140	220	224	Sketch"
"Roma	48634	Dressel 20	II {2}	II	12.483333	41.9	S10 180-200	220	224	Sketch"
"Roma	48635	Dressel 20	II {2}	II	12.483333	41.9	N9 0-40	220	224	Sketch"
"Roma	48636	Dressel 20	II {2}	II	12.483333	41.9	N11 120-150	220	224	Sketch"
"Roma	48637	Dressel 20	II {2}	II	12.483333	41.9	N11 150-170	220	224	Sketch"
"Roma	48638	Dressel 20	II {2}	II	12.483333	41.9	N10 190-220	220	224	Sketch"
"Roma	48639	Dressel 20	II {2}	II	12.483333	41.9	N10 190-220	220	224	Sketch"
"Roma	48640	Dressel 20	II {2}	II	12.483333	41.9	N11 220-240	220	224	Sketch"
"Roma	48641	Dressel 20	II {2}	II	12.483333	41.9	N10 190-220	220	224	Sketch"
"Roma	48642	Dressel 20	II {2}	II	12.483333	41.9	S8 110-130	160	160	Sketch"
"Roma	48643	Dressel 20	III {3}	III	12.483333	41.9	N10 0-40	220	224	Sketch"
"Roma	48644	Dressel 20	III {3}	III	12.483333	41.9	N11 190-220	220	224	Sketch"
"Roma	48645	Dressel 20	III {3}	III	12.483333	41.9	N8 90-110	160	160	Sketch"
"Roma	48646	Dressel 20	IV {4}	IV	12.483333	41.9	N10 190-220	220	224	Sketch"
"Roma	48647	Dressel 20	IV {4}	IV	12.483333	41.9	N11 190-220	220	224	Sketch"
"Roma	48648	Dressel 20	V {5}	V	12.483333	41.9	N-S1-2 66-90	220	224	Sketch"
"Roma	48649	Dressel 20	V {5}	V	12.483333	41.9	S9 70-80	220	224	Sketch"
"Roma	48650	Dressel 20	V {5}	V	12.483333	41.9	S2 90-120	220	224	Sketch"
"Roma	48651	Dressel 20	V {5}	V	12.483333	41.9	N10 150-170	220	224	Sketch"
"Roma	48652	Dressel 20	V {5}	V	12.483333	41.9	N9 190-220	220	224	Sketch"
"Roma	48653	Dressel 20	IIIIIII {6}	IIIIII	12.483333	41.9	N1 90-110	220	224	Sketch"
"Roma	48654	Dressel 20	VII {7}	VII	12.483333	41.9	N10 260-280	220	224	Sketch"
"Roma	48655	Dressel 20	X {10}	X	12.483333	41.9	N1 110-120	220	224	Sketch"
"Roma	48656	Dressel 20	X {10}	X	12.483333	41.9	S10 80-100	220	224	Sketch"
"Roma	48657	Dressel 20	X {10}	X	12.483333	41.9	S11 80-100	220	224	Sketch"
"Roma	48658	Dressel 20	X {10}	X	12.483333	41.9	S9 120-140	220	224	Sketch"
"Roma	48659	Dressel 20	X {10}	X	12.483333	41.9	N9 0-40	220	224	Sketch"
"Roma	48660	Dressel 20	X {10}	X	12.483333	41.9	N9 120-150	220	224	Sketch"
"Roma	48661	Dressel 20	X {10}	X	12.483333	41.9	N10 150-170	220	224	Sketch"
"Roma	48662	Dressel 20	X {10}	X	12.483333	41.9	N11 150-170	220	224	Sketch"
"Roma	48663	Dressel 20	X {10}	X	12.483333	41.9	N9 170-190	220	224	Sketch"
"Roma	48664	Dressel 20	X {10}	X	12.483333	41.9	N10 240-260	220	224	Sketch"
"Roma	48665	Dressel 20	X {10}	X	12.483333	41.9	N10 240-260	220	224	Sketch"
